cal_date,454_year,454_qtr,454_month,454_week,cal_year,cal_qtr,cal_month_number,cal_month_name,cal_day_of_month_number,cal_week,cal_day_of_week,cal_day_of_week_number
2014-10-15,2014,4,10,42,2014,Q4,10,OCT,15,42,WEDNESDAY,4
2014-10-16,2014,4,10,42,2014,Q4,10,OCT,16,42,THURSDAY,5
2014-10-17,2014,4,10,42,2014,Q4,10,OCT,17,42,FRIDAY,6
2014-10-18,2014,4,10,42,2014,Q4,10,OCT,18,42,SATURDAY,7
2014-10-19,2014,4,10,43,2014,Q4,10,OCT,19,42,SUNDAY,1
2014-10-20,2014,4,10,43,2014,Q4,10,OCT,20,42,MONDAY,2
2014-10-21,2014,4,10,43,2014,Q4,10,OCT,21,42,TUESDAY,3
2014-10-22,2014,4,10,43,2014,Q4,10,OCT,22,43,WEDNESDAY,4
2014-10-23,2014,4,10,43,2014,Q4,10,OCT,23,43,THURSDAY,5
2014-10-24,2014,4,10,43,2014,Q4,10,OCT,24,43,FRIDAY,6
2014-10-25,2014,4,10,43,2014,Q4,10,OCT,25,43,SATURDAY,7
2014-10-26,2014,4,11,44,2014,Q4,10,OCT,26,43,SUNDAY,1
2014-10-27,2014,4,11,44,2014,Q4,10,OCT,27,43,MONDAY,2
2014-10-28,2014,4,11,44,2014,Q4,10,OCT,28,43,TUESDAY,3
2014-10-29,2014,4,11,44,2014,Q4,10,OCT,29,44,WEDNESDAY,4
2014-10-30,2014,4,11,44,2014,Q4,10,OCT,30,44,THURSDAY,5
2014-10-31,2014,4,11,44,2014,Q4,10,OCT,31,44,FRIDAY,6
2014-11-01,2014,4,11,44,2014,Q4,11,NOV,1,44,SATURDAY,7
2014-11-02,2014,4,11,45,2014,Q4,11,NOV,2,44,SUNDAY,1
2014-11-03,2014,4,11,45,2014,Q4,11,NOV,3,44,MONDAY,2
2014-11-04,2014,4,11,45,2014,Q4,11,NOV,4,44,TUESDAY,3
2014-11-05,2014,4,11,45,2014,Q4,11,NOV,5,45,WEDNESDAY,4
2014-11-06,2014,4,11,45,2014,Q4,11,NOV,6,45,THURSDAY,5
2014-11-07,2014,4,11,45,2014,Q4,11,NOV,7,45,FRIDAY,6
2014-11-08,2014,4,11,45,2014,Q4,11,NOV,8,45,SATURDAY,7
2014-11-09,2014,4,11,46,2014,Q4,11,NOV,9,45,SUNDAY,1
2014-11-10,2014,4,11,46,2014,Q4,11,NOV,10,45,MONDAY,2
2014-11-11,2014,4,11,46,2014,Q4,11,NOV,11,45,TUESDAY,3
2014-11-12,2014,4,11,46,2014,Q4,11,NOV,12,46,WEDNESDAY,4
2014-11-13,2014,4,11,46,2014,Q4,11,NOV,13,46,THURSDAY,5
2014-11-14,2014,4,11,46,2014,Q4,11,NOV,14,46,FRIDAY,6
2014-11-15,2014,4,11,46,2014,Q4,11,NOV,15,46,SATURDAY,7
2014-11-16,2014,4,11,47,2014,Q4,11,NOV,16,46,SUNDAY,1
2014-11-17,2014,4,11,47,2014,Q4,11,NOV,17,46,MONDAY,2
2014-11-18,2014,4,11,47,2014,Q4,11,NOV,18,46,TUESDAY,3
